iter,time,reward,steps,convergence,policy
1,3.7754570000005927,-751.0,853.0,79.734,False
2,2.1260830000002784,50.0,52.0,62.946971999999995,False
3,3.1572309999994275,88.0,14.0,56.209587403757226,False
4,4.072435000000318,88.0,14.0,44.6671880808426,False
5,18.578320999999676,91.0,11.0,36.608740402795995,True
6,16.628894000000116,83.0,19.0,25.687861601961288,True
7,34.97883600000051,88.0,14.0,19.662617457667658,True
8,19.515675000000066,93.0,9.0,12.02412737071959,True
9,8.37884099999986,88.0,14.0,6.449549671745373,True
10,9.980813999999505,91.0,11.0,3.2058998790990785,True
11,12.773045000000316,86.0,16.0,1.517657625235401,True
12,7.492463999999366,91.0,11.0,0.6951132752062534,True
13,13.683780000000034,93.0,9.0,0.31107816874830974,True
14,8.951332000000534,93.0,9.0,0.13690124066781095,True
15,18.531603999999646,92.0,10.0,0.05950537694556601,True
16,23.04184300000056,88.0,14.0,0.025622917905366194,True
17,17.76954100000072,92.0,10.0,0.010953698993304783,True
18,15.627135999999986,93.0,9.0,0.004656248106471139,True
19,15.727670000000415,90.0,12.0,0.0019704411257635,True
20,16.11833300000054,92.0,10.0,0.0008308622065698046,True
21,18.001539000000122,93.0,9.0,0.0003493257050166676,True
22,21.397806999999602,83.0,19.0,0.00014652139870463543,True
23,21.119225999999713,93.0,9.0,6.133735685409647e-05,True
24,20.27965899999984,90.0,12.0,2.563599862526189e-05,True
25,13.386458999999462,92.0,10.0,1.0700298162191757e-05,True
26,27.271722000000054,92.0,10.0,4.461275352696248e-06,True
27,18.36954299999949,86.0,16.0,1.8583143344130804e-06,True
28,24.763164000000337,87.0,15.0,7.734668940884148e-07,True
29,22.329132000000307,91.0,11.0,3.2172205521874275e-07,True
30,28.061533999999888,91.0,11.0,1.3374619811656885e-07,True
31,47.48515800000064,87.0,15.0,5.5575128499185666e-08,True
32,15.106739000000147,92.0,10.0,2.3083927658262837e-08,True
33,14.645394999999617,91.0,11.0,9.5850793968566e-09,True
34,17.790166000000163,91.0,11.0,3.978883000854694e-09,True
35,14.53730899999961,92.0,10.0,1.6512586853423272e-09,True
36,15.927636999999883,93.0,9.0,6.851621492387494e-10,True
37,25.67829200000027,87.0,15.0,2.842455160134705e-10,True
38,18.22867400000039,91.0,11.0,1.1787903986260062e-10,True
39,18.124040000000008,89.0,13.0,4.89137619297253e-11,True
40,14.776943999999403,92.0,10.0,2.027888967859326e-11,True
41,16.2783950000005,93.0,9.0,8.398615136684384e-12,True
42,18.50750300000037,93.0,9.0,3.467448550509289e-12,True
43,16.890949000000433,93.0,9.0,1.4495071809506044e-12,True
44,19.824075999999913,92.0,10.0,6.110667527536862e-13,True
45,23.857297000000166,91.0,11.0,2.5579538487363607e-13,True
46,28.114913000000463,91.0,11.0,1.1368683772161603e-13,True
47,21.207167000000027,91.0,11.0,4.263256414560601e-14,True
48,23.325091000000242,93.0,9.0,2.8421709430404007e-14,True
49,27.403496000000693,91.0,11.0,0.0,True
50,26.65106400000017,93.0,9.0,0.0,True
51,31.5358459999997,89.0,13.0,0.0,True
52,19.46417200000017,92.0,10.0,0.0,True
53,21.41804700000005,93.0,9.0,0.0,True
54,31.223071000000324,91.0,11.0,0.0,True
55,24.598510000000573,89.0,13.0,0.0,True
56,24.455158999999504,91.0,11.0,0.0,True
57,28.39485400000008,92.0,10.0,0.0,True
58,25.557550000000262,91.0,11.0,0.0,True
59,24.296513999999547,89.0,13.0,0.0,True
60,26.557485000000547,91.0,11.0,0.0,True
61,28.09297700000002,90.0,12.0,0.0,True
62,22.9968739999995,93.0,9.0,0.0,True
63,24.301165999999874,93.0,9.0,0.0,True
64,28.162006000000517,91.0,11.0,0.0,True
65,26.981687000000143,91.0,11.0,0.0,True
66,30.80340899999978,89.0,13.0,0.0,True
67,31.79837299999999,92.0,10.0,0.0,True
68,25.559333999999545,93.0,9.0,0.0,True
69,35.35547000000072,92.0,10.0,0.0,True
70,30.563480999999726,87.0,15.0,0.0,True
71,39.33950000000053,92.0,10.0,0.0,True
72,37.501186000000075,87.0,15.0,0.0,True
73,39.8556189999999,88.0,14.0,0.0,True
74,39.12026099999988,92.0,10.0,0.0,True
75,28.439859000000567,90.0,12.0,0.0,True
76,35.670244000000295,93.0,9.0,0.0,True
77,35.75468000000015,91.0,11.0,0.0,True
78,38.30693899999993,92.0,10.0,0.0,True
79,63.03574799999989,92.0,10.0,0.0,True
80,49.88525300000024,90.0,12.0,0.0,True
81,63.22184800000041,91.0,11.0,0.0,True
82,50.055474000000544,90.0,12.0,0.0,True
83,41.27986000000039,91.0,11.0,0.0,True
84,35.90844400000037,90.0,12.0,0.0,True
85,34.67610199999971,87.0,15.0,0.0,True
86,32.45499400000007,89.0,13.0,0.0,True
87,48.48960400000024,93.0,9.0,0.0,True
88,33.02079899999999,92.0,10.0,0.0,True
89,38.68697999999959,89.0,13.0,0.0,True
90,32.24920200000003,93.0,9.0,0.0,True
91,37.25419000000052,91.0,11.0,0.0,True
92,38.31271199999975,93.0,9.0,0.0,True
93,36.74008499999992,91.0,11.0,0.0,True
94,45.74939300000036,90.0,12.0,0.0,True
95,36.89885699999973,91.0,11.0,0.0,True
96,41.16214799999973,89.0,13.0,0.0,True
97,51.16164300000037,88.0,14.0,0.0,True
98,43.76815100000009,91.0,11.0,0.0,True
99,44.96012400000016,86.0,16.0,0.0,True
100,43.214368000000114,87.0,15.0,0.0,True
