iter,time,reward,steps,convergence
1,0.002742954999998659,-238.84,188.8,91.71000000000001
2,0.0035318930000016735,-212.78,199.02,84.66822953552673
3,0.004328611000001814,-207.64,190.32,75.49722953552673
4,0.0049520700000016404,-194.56,194.08,66.40722953552674
5,0.0057386940000014874,-201.92,199.94,56.507879024442715
6,0.0065276100000026815,-194.22,197.22,46.60787904322308
7,0.007329659999999905,-201.32,200.0,36.72899945391183
8,0.008119630999999572,-197.72,196.96,26.82900304316678
9,0.008905777999999032,-196.4,197.96,16.92900351214245
10,0.009742770999999095,-192.9,197.46,7.029024967579294
11,0.010943320999999173,-189.48,190.46,4.4190271131229775
12,0.01273289499999919,-200.74,200.0,1.5607979402634995
13,0.013526491000000362,-197.68,198.26,3.812735353283041
14,0.014313640000001016,-200.36,199.86,3.002735374738478
15,0.015103458000002234,-209.76,198.56,5.658368985187245
16,0.01589188100000527,-213.8,197.3,5.925347589599677
17,0.016822791000002724,-189.56,186.86,8.41367976482632
18,0.01758078300000321,-190.52,188.52,8.420966175574614
19,0.018373047000004306,-333.92,198.6,11.074247216674685
20,0.019167332000005644,-288.0,199.08,11.285603297001177
21,0.019948946000003076,-202.66,200.0,11.285833161462127
22,0.02074383600000118,-201.32,200.0,11.285846576990691
23,0.02152620600000077,-200.74,200.0,8.369863099044286
24,0.022310551000000345,-201.9,200.0,8.369863081637739
25,0.023096895999998424,-201.9,200.0,5.713579983633927
26,0.024062899999997,-192.06,193.02,5.511555251262469
27,0.02484788099999946,-199.86,197.66,3.0021026756083726
28,0.02563119500000255,-195.68,193.4,7.263277253683727
29,0.02595973300000054,-229.38,198.18,10.148381508514898
30,0.026745578000003434,-595.28,193.7,15.74533196845035
31,0.02763748800000343,-385.24,197.46,18.48247183045784
32,0.02841792100000262,-201.32,200.0,19.008818016581877
33,0.029247932000004084,-197.38,196.92,18.94912885596002
34,0.0300464150000046,-201.9,200.0,18.949175462944407
35,0.030829859000004234,-198.62,198.84,18.954377106240948
36,0.03161671000000155,-201.32,200.0,18.889423667162237
37,0.032396592000001334,-200.16,200.0,18.889423708375297
38,0.032817596000001004,-187.42,180.14,18.33794771883803
39,0.03308341700000028,-176.66,174.3,12.921632530203812
40,0.033873173000003476,-151.24,164.76,19.76765929228315
41,0.034154227000001924,-123.34,142.32,21.694406625293773
42,0.03433330100000376,-77.26,119.06,35.827130633480444
43,0.03450707000000364,-125.94,152.54,42.164008547096245
44,0.03544451600000542,-191.02,193.74,52.67515632801373
45,0.03654477100000619,-190.38,194.26,62.056424183876324
46,0.037331359000006614,-187.16,190.74,79.86038572284778
47,0.03748326000000901,-81.62,119.12,86.56181291647837
48,0.03757022600000681,-57.46,105.64,99.78982648709271
49,0.03777847600000683,-56.48,99.2,106.39862795697573
50,0.03866433100000677,14.1,40.96,110.14126057469507
51,0.038776052000006445,-58.9,102.74,110.07377673106234
52,0.03921849200000693,-24.18,75.7,103.88712917217558
53,0.0394839470000079,-2.98,65.54,99.49251484122424
54,0.039623935000008714,24.34,33.3,100.67841001124806
55,0.03970035000000749,28.62,31.04,91.91324253321348
56,0.03980854600000683,14.46,46.08,91.76889879400541
57,0.03990663900000868,31.14,29.68,85.89631778023288
58,0.039980099000008096,12.3,48.54,87.54318229279411
59,0.040083438000010574,31.2,30.6,98.45410938891246
60,0.04027143000001132,-363.86,157.0,99.31422766201754
61,0.04054150300001069,-356.4,187.96,110.4165266473452
62,0.0419754340000118,-148.44,168.96,116.99111845798295
63,0.04231951900001363,0.66,54.66,132.4820754612012
64,0.04244097200001207,29.28,32.12,121.50449023199296
65,0.042554624000015195,29.22,35.38,122.3027389805399
66,0.04277814800001423,-26.1,83.46,106.82868502698844
67,0.04310083200001458,34.0,29.72,107.75101615428791
68,0.0431795650000133,16.0,45.7,91.91496992429119
69,0.04334395800001545,15.12,41.08,91.55636200017216
70,0.04346964000001563,9.22,47.84,77.28217087893461
71,0.04355986000001266,1.82,54.08,64.34128186269567
72,0.0436302850000132,-5.96,60.7,64.32848646887079
73,0.043738087000011916,-7.56,61.44,54.01380338999851
74,0.04383925600001248,11.76,49.38,58.840137382834214
75,0.04441323700001476,32.9,27.34,69.74981244718867
76,0.04450009300001412,1.34,57.74,75.75219001615594
77,0.04465648700001523,-93.08,127.94,74.53403530031765
78,0.04478920800001518,-8.74,73.62,74.68236838584566
79,0.04486920600001554,15.76,42.74,59.62020676570726
80,0.0449759950000157,16.26,44.56,57.215441105002284
81,0.0450554910000136,-28.14,85.78,59.3557186659188
82,0.045244859000014515,8.06,48.7,55.734215872922924
83,0.04534684600001526,18.1,42.72,52.549242839119
84,0.04543857600001289,36.26,28.04,52.244097100734166
85,0.04553036500001184,32.7,27.54,44.83881232376766
86,0.04564018600001063,26.08,41.12,53.44743343560342
87,0.045822937000011166,-3.5,63.46,57.607056233924354
88,0.04617318400001125,7.56,55.58,58.77369629052778
89,0.046313835000013626,39.34,24.38,57.07177258482559
90,0.04639441200001215,-3.36,60.42,57.17853470924375
91,0.04649162900001258,33.16,26.5,69.92197646061152
92,0.046579014000013075,29.6,26.0,59.221202190059955
93,0.04664417900001183,7.66,50.84,61.143258374542334
94,0.04676314400001402,24.24,37.16,60.0143103064088
95,0.0469209860000106,40.66,25.38,60.70071990314509
96,0.04701299300000983,-161.06,120.22,45.1097115761041
97,0.047091224000009646,-9.88,72.74,41.04463912812271
98,0.04720501100000973,-49.8,64.8,37.89889652056159
99,0.04728473900001262,35.04,26.36,41.16728707283239
100,0.04740712100001332,38.06,26.24,55.94692308331984
101,0.04748136700001382,35.64,26.34,41.316571908249145
102,0.04757521700001632,4.46,56.36,46.01820383703881
103,0.04766971500001915,35.46,25.36,40.66102733307802
104,0.047744026000017925,30.42,26.34,37.26279912719674
105,0.04788294900001944,14.44,46.38,34.50804573072389
106,0.04799743200002027,18.06,43.34,36.238433069669405
107,0.04816588400002075,-15.54,71.14,38.16404567527619
108,0.04830734400002257,-12.38,72.92,38.90727528674118
109,0.0483954570000229,-73.32,84.26,37.88045773585412
110,0.04858666600002337,40.86,25.18,22.956765302186614
111,0.04868580300002279,25.22,40.24,22.873973671017247
112,0.04877069500002307,36.84,25.14,17.910191634126896
113,0.04885622900002318,35.9,26.08,20.16658936520742
114,0.04892324900002265,37.92,24.64,21.606034263217104
115,0.049079333000022984,10.8,44.8,21.598114360001723
116,0.04918428200002367,36.88,26.26,19.13415830791994
117,0.04928065800002557,37.44,26.28,17.014571049171312
118,0.049364398000026455,31.94,24.82,15.894860091274003
119,0.049451577000024116,25.4,41.8,15.893127549263022
120,0.04954660800002131,11.76,51.96,15.91515430359442
121,0.04964511100002156,34.58,25.08,13.433574278660586
122,0.049917528000023026,4.34,59.38,15.86972509353105
123,0.050078777000020835,-71.16,117.56,13.921926998461174
124,0.050185740000021184,-8.28,72.58,14.058983005589791
125,0.05028460400002288,-1.26,67.3,14.192914444813994
126,0.050412471000026216,39.84,25.04,16.478893481244683
127,0.050485585000025424,33.6,25.48,17.809348170827043
128,0.05063345500002825,33.88,25.78,20.054806087453066
129,0.05071499400002821,39.38,26.66,19.08475767830805
130,0.05081116400003083,36.56,25.42,19.092456042855268
131,0.05093233100003047,0.72,63.0,21.78567714729119
132,0.05148847300002757,-511.98,179.96,19.907020882187258
133,0.05159870500002839,23.0,40.72,20.70440188160356
134,0.051731922000030295,-53.82,74.62,19.268067351192535
135,0.051869329000027165,-29.06,84.08,19.14022932196278
136,0.05197358000002694,-2.78,61.28,17.770842730598474
137,0.05209425200002471,16.04,52.32,17.14494063008698
138,0.05218855200002537,1.64,60.92,15.79084828574346
139,0.05227508900002675,24.22,41.24,14.487926031324253
140,0.05238384900002657,16.7,42.38,15.223819453920964
141,0.05250801600002575,-2.28,62.52,12.636013692933995
142,0.052603436000026704,-32.96,58.98,12.366323039198782
143,0.05269919900002762,-29.4,89.36,13.742714173466084
144,0.05285534200002573,39.82,27.38,13.408130599242957
145,0.05299931100002553,6.06,58.82,11.279533622731092
146,0.05309337300002426,-159.06,172.66,12.87618554740842
147,0.053208844000025124,-32.52,84.4,24.4823934055346
148,0.053458372000026344,-342.28,194.46,29.969883078670854
149,0.053911493000025956,-38.58,64.6,35.13706047907341
150,0.05400472300002335,23.46,32.14,37.358025069508315
151,0.0540835580000234,-27.12,85.36,37.669459010152586
152,0.054206245000020914,-142.26,156.64,42.76833565632665
153,0.054375895000021046,-162.14,164.06,42.67882665084757
154,0.05452384000002297,-229.62,194.64,43.29141502551856
155,0.05470196000002048,-8.84,73.14,45.5349482505154
156,0.0548180310000177,23.14,41.16,45.75706148689884
157,0.054967737000016115,-55.06,95.92,35.87844991141192
158,0.055094472000014605,23.06,38.34,31.54923894006986
159,0.055173198000012746,18.66,44.48,29.736895724899796
160,0.05527580700001167,-353.1,39.24,33.094271028510555
161,0.05544909500001083,14.9,45.34,36.68296306913183
162,0.0555793380000118,25.52,39.94,32.545127069186606
163,0.055755879000013664,-49.64,76.26,35.754189973087826
164,0.055898511000012974,-13.06,75.62,36.80296577762146
165,0.055989047000014835,40.16,28.78,40.10555430130446
166,0.056073472000012003,-63.3,91.08,46.480393911202704
167,0.05627144200001055,19.6,41.8,47.56496563154363
168,0.05641741200001249,-10.16,76.5,48.74340985302648
169,0.056522634000010896,-1.32,61.56,48.30861110637993
170,0.05660972600001202,32.84,26.24,44.33261687391128
171,0.05668669600001053,36.32,27.4,42.68176153419093
172,0.0574659670000095,-46.44,98.06,48.021455835942525
173,0.05759203000000923,-37.38,74.42,46.80224542199861
174,0.05782171100000966,-106.26,97.54,49.77877023004106
175,0.05790953900001128,22.16,38.4,44.47769151500922
176,0.05803554700001001,6.94,53.62,36.01912349595791
177,0.05813051100001232,-71.5,116.46,35.00427963660955
178,0.058346625000012864,-224.4,191.42,35.992314195301496
179,0.05848402700001287,-181.0,174.0,33.05085127289207
180,0.05878884800001316,-172.18,174.44,32.41205550840135
181,0.058893818000015585,-47.4,76.62,36.203340732352075
182,0.059008618000014224,30.82,27.68,30.01260504352972
183,0.0591765800000168,38.48,25.24,27.87802560248759
184,0.059266715000017456,40.1,24.78,23.3908404742414
185,0.059349952000015804,-28.06,88.02,25.454614387310173
186,0.059466224000015444,-96.7,131.24,27.63219595941289
187,0.059589721000012474,-179.64,175.84,27.873380009122467
188,0.05969383800001182,-210.62,186.88,24.55616536463928
189,0.05987076900001398,-228.38,196.0,24.739761316641413
190,0.060008383000013765,-224.46,196.12,25.540761074475935
191,0.06032282500001429,38.52,25.78,20.426663430263368
192,0.06042632000001191,39.88,25.58,20.087345948160902
193,0.060556899000012265,6.0,60.04,19.71880833934034
194,0.060795468000012676,19.44,41.96,21.14402064198314
195,0.060871473000013054,-1.9,65.04,20.29301728118316
196,0.06096470900001094,17.38,41.7,17.607760688231643
197,0.06107439400001269,2.2,58.04,14.982795428730464
198,0.0611769110000111,35.86,24.96,16.07290543238618
199,0.06131595500001197,-1715.34,183.32,18.855929778423086
200,0.061736330000012885,-148.7,166.66,19.90831020206781
201,0.06245213000001115,-48.9,97.08,22.34924335254924
202,0.06262170200001194,-4.12,64.94,25.34785302395551
203,0.06283580100000918,19.6,39.48,26.010240659246087
204,0.06291145000000853,-25.92,90.22,27.350528692045355
205,0.06335347700001037,0.94,59.3,27.921813206410764
206,0.06356072000000879,-145.5,159.3,29.91395355558293
207,0.06397450600001164,-55.94,78.2,31.03423334029218
208,0.06423487100001068,-22.2,55.76,30.527795909877
209,0.06436332000000888,-98.84,103.14,29.685261366483
210,0.06453288600000917,-14.1,76.66,28.921403953493932
211,0.06471274900000878,-423.62,176.8,29.12063747920364
212,0.06535520900001046,35.7,26.28,29.298541654550434
213,0.06543796600001173,35.7,28.02,27.1415581867826
214,0.0655433950000095,-27.1,89.96,28.382014285776233
215,0.06566578000001044,25.16,42.04,26.35986109002086
216,0.06576389800001081,15.88,45.52,24.436475140736782
217,0.06585432400001068,39.16,25.72,25.196096088591
218,0.06592401500000733,31.46,27.62,24.14616923462221
219,0.06606113500000532,2.92,62.54,24.31322585537982
220,0.0662492610000065,18.82,44.9,21.648769208493984
221,0.06639618000000524,-114.02,143.48,22.80346669734289
222,0.06670672000000621,7.1,57.2,24.28983552151605
223,0.06681257500000726,12.72,53.32,25.835185480342375
224,0.06694075800000832,-20.04,79.72,24.846179996621977
225,0.06705016200000813,18.22,41.44,24.656988022690435
226,0.06716649800000951,-4.56,60.46,28.91156557286598
227,0.06728810300000987,-42.76,102.72,29.236810105105075
228,0.06752307600001117,-110.84,150.9,29.091779092444334
229,0.06768626700001334,-29.58,82.0,31.383903838438506
230,0.06775735000001148,37.8,25.34,31.507494064988464
231,0.06788500200001124,20.72,40.68,28.02078201271329
232,0.06802025800001132,2.02,58.22,25.656466931758
233,0.06810179400001104,23.92,42.7,25.979453664114317
234,0.0681822510000103,32.7,26.38,25.834792889968433
235,0.068290807000011,17.68,44.3,27.926493381646218
236,0.06841666300001137,36.66,29.38,25.485582057832364
237,0.0685179150000117,39.2,26.26,23.34643621245589
238,0.06860583100000994,20.88,48.64,25.26794389957315
239,0.06876920200000924,30.94,30.46,22.729060311133917
240,0.06894630800001167,-23.18,78.22,24.408148882027998
241,0.06924504100001272,1.88,64.74,26.742712073712255
242,0.06936804600001523,36.82,25.74,24.63494445874544
243,0.06947067900001613,41.16,25.46,24.875460390061928
244,0.06954870900001708,21.34,38.9,23.711634130871136
245,0.06973291400001713,-34.9,92.26,23.45207118420219
246,0.06984060200001707,19.18,43.96,21.780645649183764
247,0.06995738200001966,-10.02,74.32,22.072702178504045
248,0.07015973000001807,19.08,43.48,20.05712020317956
249,0.07029443000001834,-9.4,67.32,18.28979012380926
250,0.07044531200001813,22.38,40.76,17.039846045633233
251,0.07062027200001708,34.8,28.92,15.92624404033711
252,0.07076836200002035,-17.3,76.96,18.222169094093953
253,0.07094303400002033,10.3,45.3,17.590393753454876
254,0.07106322400002085,42.58,25.2,17.965996802274596
255,0.07115184700002075,20.58,43.14,18.501533559853637
256,0.07134320300002273,18.86,41.96,19.881716378042437
257,0.07144674000002382,37.12,26.02,20.714684856244904
258,0.07164674200002352,16.5,44.32,21.815312999313726
259,0.07173250900002515,17.64,42.02,21.67950308196788
260,0.07181581500002565,34.2,26.62,20.846544775605434
261,0.07192211600002452,11.44,48.22,20.600051920148
262,0.072038637000027,-0.36,60.02,20.737837416381847
263,0.07215735400002643,-36.66,94.02,19.297150203056425
264,0.07226435000002596,-27.4,85.34,19.0911710424544
265,0.0724952620000252,15.44,43.06,18.204821651707604
266,0.07263323600002636,-36.02,59.74,19.14248788245545
267,0.07280391600002645,30.62,33.68,18.850774204743423
268,0.07291379800002673,37.56,25.58,17.80739431566547
269,0.07306997600002774,32.14,26.36,20.11090312608749
270,0.07322913600002678,37.12,26.02,21.006134414362243
271,0.0734278760000251,18.28,43.7,18.680611303622538
272,0.07358941900002591,24.22,42.98,16.601651464176673
273,0.07380121700002817,-238.4,185.06,18.832581328691628
274,0.07413599200002707,-262.4,196.1,17.810568932449726
275,0.07442574800002788,12.28,53.18,17.89348347005036
276,0.07456323800002451,21.42,38.82,17.500055894063767
277,0.07475631500002677,18.24,42.0,18.67570837028158
278,0.07492723400002532,20.64,44.82,22.74584355024061
279,0.0751902700000251,-36.4,91.2,23.21953343794886
280,0.07527984700002577,-144.5,166.2,24.87198964464276
281,0.07537046500002731,35.04,30.42,27.509828180272297
282,0.07548848100002559,-19.46,73.62,29.084286444299075
283,0.0756017470000252,-13.18,75.74,28.234153496303627
284,0.07573223400002504,-15.14,75.4,28.92663663567464
285,0.07587354700002535,-8.78,65.84,27.515403575523305
286,0.07610543900002398,-14.72,70.34,27.70491127002726
287,0.07622289700002227,-22.84,87.14,28.534889174942588
288,0.07643919000002342,-26.8,80.96,26.62609100679356
289,0.07656696900002302,-1.76,62.58,28.163675457278636
290,0.07676556200002338,20.88,43.42,27.117752498604915
291,0.0768501110000237,15.78,45.62,24.781215386637665
292,0.07695075100002668,14.6,42.16,24.53837030911783
293,0.07706513000002602,-46.02,97.3,24.035543548525315
294,0.0771552580000261,35.34,26.06,23.554434416369553
295,0.07725296000002757,29.46,27.88,23.52729081259104
296,0.07733029100002753,29.44,27.32,21.316947724743223
297,0.07743341200002618,35.02,25.8,20.056121368753644
298,0.07750969400002816,27.08,25.62,18.56489142906345
299,0.07758279000002943,-243.54,188.8,16.88307166751525
300,0.07768336400003051,-85.18,132.42,15.713042494151566
301,0.07785648200002981,-22.92,83.46,16.479147782995735
302,0.07794780300002913,-70.2,91.32,16.867577999237735
303,0.07811257900003099,-32.6,88.2,17.326236367606278
304,0.07819376700003389,37.38,24.6,18.346466090920632
305,0.07830413700003547,30.2,38.74,18.264029011690884
306,0.07864462800003835,0.22,64.08,19.49172962791895
307,0.07875970900003892,33.84,26.4,19.050937207507992
308,0.07885577100003971,2.46,61.26,18.023388487123057
309,0.07895183100004033,-19.82,82.96,17.250150327873815
310,0.07906057000004196,19.76,46.28,17.135297502520867
311,0.07918078700004116,42.78,25.0,16.09122841084395
312,0.07936788900003933,-18.62,75.96,13.672433060608336
313,0.07950142700003937,3.18,58.8,11.733361088171774
314,0.07960167600003842,37.08,25.48,11.853105646762463
315,0.07969828800003853,2.16,58.96,12.59553784030523
316,0.07979388500003992,-11.7,76.58,13.748905088015942
317,0.07995030800003988,17.6,47.28,15.103484147741057
318,0.08055837600003812,38.02,25.12,16.137967471559076
319,0.08088276200003719,21.6,38.64,15.569240883415478
320,0.08124551500003463,32.2,25.72,15.394522264639534
321,0.08139098700003444,40.02,26.02,18.687990707933658
322,0.08147324700003367,37.56,25.0,18.76847779287087
323,0.0815923710000348,-0.52,65.98,21.87117363440398
324,0.0816689120000369,-165.46,163.94,21.97725547212776
325,0.08184523500003493,32.4,29.0,22.502965963574944
326,0.08194441500003435,21.76,43.12,22.10406140506981
327,0.08215442900003467,-48.24,100.14,20.322631347751603
328,0.08233820100003442,-47.26,94.78,22.133527212736674
329,0.08253533900003518,-115.1,146.02,22.840978780237556
330,0.08286499900003363,-179.74,166.38,33.25094030123526
331,0.08308756400003148,-104.66,121.32,36.913617371313876
332,0.08381524000003182,-238.66,194.98,39.17370217748876
333,0.0846060960000301,-316.42,186.26,44.79288813486292
334,0.08474886800003034,-207.26,194.02,48.16202691951638
335,0.08553606900002819,-223.12,193.64,50.84554214034884
336,0.08633584200002886,-404.48,193.12,56.5762323730915
337,0.08711942600002942,-202.48,200.0,58.21488870645668
338,0.08791288300002975,-193.06,194.04,56.75552445746795
339,0.08858715800003125,-29.24,85.44,64.97171320533255
340,0.0887210680000301,29.24,31.0,65.30213166749175
341,0.08880254900002882,40.86,25.18,65.6528832627022
342,0.08893582800002875,3.72,57.1,63.562828965868746
343,0.0890463930000287,38.78,24.94,63.81452471186704
344,0.08912734700003,22.1,40.46,60.30916666394025
345,0.0892025770000302,35.68,25.72,56.494145469198244
346,0.08936907800003269,-2.68,64.68,50.48172332767055
347,0.08947489800003439,-31.18,56.06,53.24621266254022
348,0.08958436500003586,24.72,32.64,51.971607362194604
349,0.08969156500003805,-68.48,80.02,43.958678078951785
350,0.08986596400003677,36.18,25.8,35.580603571185115
351,0.09006082600003751,4.74,59.56,31.074340394033307
352,0.0901553950000391,-125.66,147.64,39.16226350367283
353,0.0903287910000401,-142.76,156.84,37.962749082818675
354,0.09055323500004064,-43.36,69.1,35.66534275305595
355,0.09064265000003857,18.04,42.5,35.89371668325754
