iter,time,reward,steps,convergence
1,0.001796061000000293,-619.96,300.0,89.59
2,0.003158267999999964,-553.95,299.65,80.1719
3,0.004126459999994836,-478.38,299.52,70.7619
4,0.005103910999999073,-433.07,298.88,61.151297060999994
5,0.006082182999996633,-369.96,300.0,51.541297061
6,0.007174520999996048,-299.0,300.0,41.65849812910885
7,0.008147573999991664,-299.0,300.0,31.758498131871818
8,0.009104232999995077,-299.0,300.0,21.858498398896966
9,0.010058863999994117,-299.0,300.0,11.958498639503068
10,0.011013921999996512,-299.0,300.0,2.0584986598660238
11,0.012099753000001101,-299.0,300.0,1.5684986686798155
12,0.013085003999997014,-299.0,300.0,1.0865988041409806
13,0.014059765999995477,-299.0,300.0,0.5965988309774758
14,0.015019369999997423,-299.0,300.0,0.30720178533953374
