iter,time,reward,steps,convergence
1,0.061825121,-303.53,300.0,83.8967521584
2,0.09016893799999992,-299.98,300.0,62.92258233067285
3,0.11249403099999977,-300.47,300.0,40.84734400396159
4,0.13536506599999987,-300.96,300.0,34.49456598429516
5,0.15780110999999986,-299.0,300.0,28.616987277225142
6,0.19198663299999996,-299.0,300.0,26.407638575092363
7,0.21562978700000013,-299.0,300.0,23.0355135362759
8,0.23780658899999985,-299.49,300.0,19.797965802347402
9,0.26024922199999967,-299.29,300.0,18.572411192311623
10,0.2826888909999985,-299.98,300.0,14.251210013940824
11,0.3051808369999982,-299.0,300.0,13.211788741506364
12,0.32761761999999806,-299.49,300.0,12.113437778868954
13,0.349908349999998,-299.0,300.0,10.694214999931182
14,0.3722464599999977,-299.29,300.0,10.161831193844922
15,0.39452508599999625,-299.0,300.0,9.116661937440849
16,0.4180950329999966,-299.49,300.0,8.847169892757632
17,0.4405227549999964,-295.86,298.75,7.833173309722836
18,0.46308518699999723,-292.93,295.04,7.109570510281337
19,0.4888201119999973,-255.8,271.98,5.970213785194572
20,0.5191021799999955,-260.55,275.44,4.733049388620099
21,0.5482767609999968,-151.28,200.49,4.026751783869879
22,0.5726748389999976,-170.52,211.61,3.454845681236825
23,0.5949389259999975,10.18,64.38,3.0869329166451553
24,0.6189102339999977,13.95,63.85,2.9452206556619167
25,0.6420827749999951,10.85,63.38,2.768256729138086
26,0.665304778999996,12.31,65.29,2.348787702091011
27,0.6885221349999959,8.34,64.33,1.9235590909643037
28,0.7118632289999951,15.4,63.29,1.8761668551001325
29,0.7340538419999945,9.04,64.93,1.6808840575334987
30,0.7586383189999957,14.16,64.45,1.419811430689757
31,0.781419568999997,12.21,62.83,1.1338133924068394
32,0.8050067609999978,10.09,64.81,0.867853461262218
33,0.8282429799999953,11.86,63.11,0.6427860977881501
34,0.8510844909999946,10.06,65.03,0.463811365325304
35,0.8739580299999936,12.05,64.36,0.3276741089279973
36,0.8977551179999921,16.63,63.14,0.22748957783303148
37,0.9206872389999923,9.85,63.68,0.15562929016348903
38,0.9428687149999924,14.56,62.98,0.10517043445211804
39,0.9650545819999934,8.48,64.93,0.07036917616410499
40,0.9904131019999909,11.1,62.58,0.046705829154934264
41,1.0128482079999905,16.78,62.26,0.0307813188187378
42,1.0349944399999913,14.14,63.36,0.020142921187966678
43,1.0574411149999925,11.8,63.71,0.013077773476046772
44,1.084365290999994,11.12,64.39,0.008414302838554377
45,1.1068634609999926,13.7,63.13,0.005358871436071055
46,1.1290619849999928,13.36,63.65,0.0033752198937904154
47,1.1514619099999912,8.53,64.2,0.0021011390755880655
48,1.173646271999992,13.52,62.78,0.0012924975677677253
49,1.1958637609999911,11.95,63.87,0.0007856882391781284
50,1.2180840809999935,10.46,63.74,0.0004721010212698218
51,1.2402383289999932,10.19,63.99,0.0002805232927514112
52,1.2629042859999942,13.51,63.29,0.00016492261933898078
53,1.285540492999992,11.87,64.15,9.598909125330124e-05
54,1.307731970999992,13.54,63.1,5.534258771966449e-05
55,1.3301510869999937,12.15,64.76,3.1627349164509155e-05
56,1.3523160309999938,8.14,63.17,1.7926723971939396e-05
57,1.3767107679999953,13.56,63.93,1.0084154027367731e-05
58,1.398894792999993,13.18,61.98,5.632996185056527e-06
59,1.4212885249999907,9.14,62.88,3.1264925102192365e-06
60,1.44348235799999,14.82,62.84,1.7252257649147396e-06
61,1.4674444399999906,9.75,63.32,9.470109763043411e-07
